iter	Passed	Remaining
0	47	47513
1	47	23947
2	49	16355
3	49	12386
4	50	9999
5	50	8405
6	51	7267
7	51	6413
8	52	5747
9	52	5216
10	53	4780
11	53	4414
12	54	4103
13	54	3836
14	54	3605
15	55	3403
16	55	3224
17	56	3065
18	56	2924
19	57	2796
20	57	2680
21	57	2575
22	58	2478
23	58	2390
24	59	2310
25	59	2235
26	60	2167
27	60	2103
28	61	2042
29	61	1987
30	61	1934
31	62	1885
32	62	1839
33	63	1795
34	63	1754
35	64	1715
36	64	1678
37	64	1643
38	65	1610
39	65	1578
40	66	1548
41	66	1519
42	67	1492
43	67	1466
44	67	1441
45	68	1418
46	68	1395
47	69	1379
48	70	1359
49	70	1339
50	70	1319
51	71	1300
52	71	1282
53	72	1265
54	72	1248
55	73	1231
56	73	1216
57	73	1200
58	74	1188
59	75	1175
60	75	1162
61	76	1150
62	76	1138
63	77	1126
64	77	1114
65	77	1103
66	78	1092
67	78	1081
68	79	1070
69	79	1060
70	80	1048
71	80	1039
72	80	1028
73	81	1019
74	81	1010
75	82	1000
76	82	991
77	83	983
78	83	973
79	84	966
80	84	958
81	84	951
82	85	941
83	85	934
84	86	928
85	86	921
86	87	915
87	87	908
88	88	902
89	88	895
90	88	887
91	89	880
92	89	873
93	89	867
94	90	860
95	90	853
96	91	848
97	91	843
98	92	837
99	92	833
100	93	828
101	93	823
102	94	818
103	94	813
104	94	807
105	95	801
106	95	796
107	95	791
108	96	785
109	96	780
110	96	775
111	97	770
112	97	766
113	98	762
114	98	758
115	99	755
116	99	750
117	99	746
118	100	743
119	100	739
120	101	736
121	101	731
122	102	727
123	102	723
124	102	719
125	103	715
126	103	711
127	103	707
128	104	704
129	104	700
130	105	696
131	105	692
132	105	689
133	106	685
134	106	681
135	106	678
136	107	675
137	107	672
138	108	670
139	108	667
140	109	665
141	109	661
142	109	658
143	110	656
144	110	653
145	111	651
146	111	648
147	112	645
148	112	642
149	112	638
150	113	635
151	113	632
152	113	630
153	114	627
154	114	624
155	114	621
156	115	618
157	115	615
158	115	613
159	116	611
160	116	608
161	117	606
162	117	604
163	118	602
164	118	600
165	119	598
166	119	596
167	120	594
168	120	592
169	120	590
170	121	588
171	121	587
172	122	585
173	122	582
174	123	580
175	123	577
176	123	575
177	124	573
178	124	571
179	124	568
180	125	566
181	125	564
182	125	562
183	126	560
184	126	557
185	126	555
186	127	553
187	127	551
188	128	549
189	128	547
190	128	545
191	129	543
192	129	542
193	130	540
194	130	539
195	131	537
196	131	536
197	132	535
198	132	533
199	133	532
200	133	530
201	133	528
202	134	526
203	134	524
204	134	523
205	135	521
206	135	519
207	135	517
208	136	515
209	136	514
210	137	512
211	137	510
212	137	508
213	138	507
214	138	506
215	139	505
216	139	503
217	140	502
218	140	501
219	140	499
220	141	498
221	141	497
222	142	496
223	142	495
224	143	493
225	143	492
226	144	491
227	144	489
228	145	488
229	145	486
230	145	485
231	146	483
232	146	481
233	146	480
234	147	478
235	147	477
236	147	475
237	148	474
238	148	472
239	148	471
240	149	470
241	149	468
242	149	467
243	150	465
244	150	464
245	151	463
246	151	462
247	152	461
248	152	460
249	153	459
250	153	458
251	153	457
252	154	456
253	154	454
254	155	453
255	155	452
256	156	451
257	156	450
258	156	448
259	157	447
260	157	446
261	157	444
262	158	443
263	158	442
264	159	441
265	159	439
266	159	438
267	160	437
268	160	436
269	161	435
270	161	434
271	162	433
272	162	433
273	163	432
274	163	431
275	164	430
276	164	429
277	164	428
278	165	427
279	165	426
280	166	425
281	166	424
282	167	423
283	167	422
284	167	420
285	168	419
286	168	418
287	168	417
288	169	416
289	169	415
290	169	413
291	170	412
292	170	411
293	170	410
294	171	409
295	171	408
296	172	407
297	172	406
298	172	405
299	173	404
300	177	413
301	178	412
302	178	411
303	179	410
304	179	409
305	180	409
306	180	408
307	181	407
308	181	406
309	182	405
310	182	404
311	183	404
312	183	403
313	184	402
314	184	401
315	186	403
316	186	402
317	187	401
318	187	400
319	187	399
320	188	398
321	190	400
322	190	399
323	190	398
324	191	396
325	191	395
326	191	394
327	192	393
328	192	392
329	192	391
330	193	390
331	193	389
332	193	388
333	194	387
334	194	386
335	195	385
336	195	385
337	196	384
338	196	383
339	197	382
340	197	381
341	198	381
342	198	380
343	199	379
344	199	378
345	199	377
346	200	377
347	200	376
348	201	375
349	201	374
350	201	373
351	202	372
352	202	371
353	202	370
354	203	369
355	203	368
356	204	367
357	204	366
358	205	366
359	205	365
360	205	364
361	206	363
362	206	363
363	207	362
364	207	361
365	208	360
366	208	359
367	208	358
368	209	357
369	209	356
370	209	355
371	210	355
372	210	354
373	211	353
374	211	352
375	211	351
376	212	350
377	212	350
378	213	349
379	213	348
380	214	348
381	214	347
382	215	346
383	215	345
384	216	345
385	216	344
386	216	343
387	217	342
388	217	341
389	218	341
390	218	340
391	218	339
392	221	341
393	221	340
394	221	339
395	222	339
396	222	338
397	222	337
398	223	336
399	223	335
400	224	334
401	224	333
402	224	333
403	225	332
404	225	331
405	226	330
406	226	330
407	227	329
408	227	328
409	228	328
410	228	327
411	229	326
412	229	326
413	229	325
414	230	324
415	230	323
416	230	322
417	231	321
418	231	321
419	231	320
420	232	319
421	232	318
422	232	317
423	233	316
424	233	316
425	234	315
426	234	314
427	234	314
428	235	313
429	235	312
430	236	312
431	236	311
432	237	310
433	237	310
434	238	309
435	238	308
436	239	308
437	239	307
438	240	306
439	240	306
440	240	305
441	241	304
442	241	303
443	241	302
444	242	302
445	242	301
446	242	300
447	243	299
448	243	299
449	244	298
450	244	297
451	244	296
452	245	295
453	245	295
454	245	294
455	246	293
456	246	292
457	247	292
458	247	291
459	248	291
460	248	290
461	248	289
462	249	289
463	249	288
464	250	288
465	250	287
466	253	289
467	253	288
468	254	287
469	254	287
470	255	286
471	255	285
472	255	285
473	256	284
474	256	283
475	257	283
476	257	282
477	258	281
478	258	281
479	258	280
480	259	279
481	259	279
482	260	278
483	260	277
484	260	276
485	261	276
486	261	275
487	262	275
488	262	274
489	262	273
490	263	272
491	263	272
492	264	271
493	264	271
494	265	270
495	265	269
496	265	269
497	266	268
498	266	267
499	267	267
500	267	266
501	268	265
502	268	265
503	268	264
504	269	263
505	269	263
506	269	262
507	273	264
508	273	264
509	274	263
510	274	262
511	274	261
512	275	261
513	275	260
514	276	260
515	276	259
516	277	258
517	277	258
518	278	257
519	278	257
520	279	256
521	279	255
522	279	255
523	280	254
524	280	254
525	281	253
526	281	252
527	282	252
528	282	251
529	283	251
530	283	250
531	283	249
532	284	249
533	284	248
534	285	247
535	285	247
536	285	246
537	286	245
538	286	245
539	287	244
540	287	244
541	288	243
542	288	242
543	289	242
544	289	241
545	290	241
546	290	240
547	290	239
548	291	239
549	291	238
550	291	237
551	292	237
552	292	236
553	292	235
554	293	235
555	293	234
556	294	233
557	294	233
558	294	232
559	295	231
560	295	231
561	295	230
562	296	229
563	296	229
564	297	228
565	297	228
566	298	227
567	298	227
568	299	226
569	299	226
570	300	225
571	300	224
572	301	224
573	301	223
574	302	223
575	302	222
576	302	221
577	303	221
578	303	220
579	303	219
580	304	219
581	304	218
582	304	218
583	305	217
584	305	216
585	305	216
586	306	215
587	306	214
588	306	214
589	307	213
590	307	212
591	307	212
592	308	211
593	308	211
594	309	210
595	309	209
596	310	209
597	310	208
598	311	208
599	311	207
600	312	207
601	312	206
602	313	206
603	313	205
604	313	204
605	314	204
606	314	203
607	314	203
608	315	202
609	315	201
610	315	201
611	316	200
612	316	199
613	317	199
614	317	198
615	317	198
616	318	197
617	318	196
618	318	196
619	319	195
620	319	195
621	320	194
622	320	194
623	321	193
624	321	193
625	322	192
626	322	191
627	323	191
628	323	190
629	324	190
630	324	189
631	324	189
632	325	188
633	325	187
634	325	187
635	326	186
636	326	186
637	327	185
638	327	184
639	327	184
640	328	183
641	328	183
642	328	182
643	329	181
644	329	181
645	329	180
646	330	180
647	330	179
648	331	179
649	331	178
650	332	178
651	332	177
652	333	177
653	333	176
654	334	175
655	334	175
656	334	174
657	335	174
658	335	173
659	336	173
660	336	172
661	336	172
662	337	171
663	337	170
664	337	170
665	338	169
666	338	169
667	339	168
668	339	167
669	339	167
670	340	166
671	340	166
672	340	165
673	341	165
674	341	164
675	342	164
676	342	163
677	343	163
678	343	162
679	344	161
680	344	161
681	345	160
682	345	160
683	346	159
684	346	159
685	346	158
686	347	158
687	347	157
688	348	157
689	348	156
690	348	155
691	349	155
692	349	154
693	349	154
694	350	153
695	350	153
696	350	152
697	351	151
698	351	151
699	351	150
700	352	150
701	352	149
702	353	149
703	353	148
704	353	148
705	354	147
706	354	147
707	355	146
708	355	146
709	356	145
710	356	145
711	357	144
712	359	144
713	360	144
714	360	143
715	361	143
716	361	142
717	362	142
718	362	141
719	363	141
720	363	140
721	364	140
722	364	139
723	365	139
724	369	140
725	370	139
726	370	139
727	370	138
728	371	138
729	371	137
730	371	136
731	372	136
732	372	135
733	375	135
734	375	135
735	375	134
736	376	134
737	376	133
738	376	133
739	377	132
740	377	131
741	377	131
742	378	130
743	378	130
744	378	129
745	379	129
746	379	128
747	380	128
748	384	128
749	384	128
750	384	127
751	385	127
752	385	126
753	386	125
754	386	125
755	386	124
756	387	124
757	387	123
758	388	123
759	388	122
760	388	122
761	389	121
762	389	121
763	390	120
764	390	119
765	390	119
766	391	118
767	391	118
768	392	117
769	392	117
770	392	116
771	393	116
772	393	115
773	394	115
774	394	114
775	394	113
776	395	113
777	395	112
778	395	112
779	396	111
780	396	111
781	397	110
782	397	110
783	397	109
784	398	109
785	398	108
786	399	108
787	399	107
788	399	106
789	400	106
790	400	105
791	401	105
792	401	104
793	401	104
794	402	103
795	402	103
796	403	102
797	403	102
798	403	101
799	404	101
800	404	100
801	404	99
802	405	99
803	406	99
804	406	98
805	407	98
806	407	97
807	408	96
808	408	96
809	408	95
810	409	95
811	410	94
812	410	94
813	410	93
814	411	93
815	411	92
816	412	92
817	412	91
818	413	91
819	413	90
820	413	90
821	414	89
822	414	89
823	415	88
824	415	88
825	416	87
826	416	87
827	416	86
828	417	86
829	417	85
830	418	85
831	418	84
832	418	84
833	419	83
834	419	82
835	420	82
836	420	81
837	421	81
838	421	80
839	421	80
840	422	79
841	422	79
842	423	78
843	423	78
844	424	77
845	424	77
846	424	76
847	425	76
848	425	75
849	426	75
850	426	74
851	427	74
852	427	73
853	427	73
854	428	72
855	428	72
856	429	71
857	429	71
858	430	70
859	430	70
860	430	69
861	431	69
862	431	68
863	432	68
864	432	67
865	433	67
866	433	66
867	433	65
868	434	65
869	434	64
870	435	64
871	435	63
872	436	63
873	436	62
874	436	62
875	437	61
876	437	61
877	438	60
878	438	60
879	438	59
880	439	59
881	439	58
882	440	58
883	440	57
884	441	57
885	441	56
886	441	56
887	442	55
888	442	55
889	443	54
890	443	54
891	444	53
892	444	53
893	444	52
894	445	52
895	445	51
896	446	51
897	446	50
898	447	50
899	447	49
900	448	49
901	448	48
902	449	48
903	449	47
904	449	47
905	450	46
906	450	46
907	451	45
908	451	45
909	452	44
910	452	44
911	453	43
912	453	43
913	459	43
914	459	42
915	460	42
916	461	41
917	462	41
918	462	40
919	465	40
920	465	39
921	466	39
922	466	38
923	467	38
924	467	37
925	467	37
926	468	36
927	468	36
928	469	35
929	469	35
930	470	34
931	470	34
932	470	33
933	471	33
934	471	32
935	472	32
936	472	31
937	473	31
938	473	30
939	473	30
940	474	29
941	474	29
942	475	28
943	475	28
944	476	27
945	476	27
946	476	26
947	477	26
948	477	25
949	478	25
950	478	24
951	479	24
952	479	23
953	479	23
954	480	22
955	480	22
956	481	21
957	481	21
958	481	20
959	482	20
960	482	19
961	483	19
962	483	18
963	484	18
964	484	17
965	484	17
966	485	16
967	485	16
968	486	15
969	486	15
970	487	14
971	487	14
972	487	13
973	488	13
974	488	12
975	488	12
976	489	11
977	489	11
978	490	10
979	490	10
980	491	9
981	491	9
982	492	8
983	492	8
984	492	7
985	493	7
986	493	6
987	494	6
988	494	5
989	494	4
990	495	4
991	495	3
992	496	3
993	496	2
994	497	2
995	497	1
996	497	1
997	498	0
998	498	0
999	499	0
